id_#,gender,age,height
355,Male,19,171
356,Female,19,166
357,Male,22,180
358,Female,21,174
359,Male,22,183
360,Male,22,172
361,Male,39,186
362,Male,53,177
363,Male,20,180
364,Male,24,182
365,Male,21,171
366,Male,19,180
367,Male,23,171
368,Male,21,182
369,Male,21,186
370,Female,61,168
371,Male,22,173
372,Female,22,152
373,Male,19,188
374,Female,22,174
375,Male,19,186
376,Female,21,166
377,Male,20,155
378,Male,22,171
379,Female,23,181
380,Female,24,158
381,Male,19,180
382,Male,22,181
383,Female,22,165
384,Female,20,152
385,Female,24,158
386,Male,20,154
387,Male,19,180
388,Male,19,180
389,Female,21,162
390,Female,20,165
391,Female,22,155
392,Female,24,167
393,Male,22,176
394,Female,23,165
395,Male,25,182
396,Female,22,149
397,Male,22,188
398,Male,22,160
399,Male,22,159
400,Male,20,166
401,Female,23,167
402,Male,23,187
403,Female,19,154
404,Female,21,172
405,Male,22,183
406,Female,21,177
407,Female,22,171
408,Female,50,177
409,Male,27,182
410,Male,25,182
411,Female,21,159
412,Male,19,173
413,Male,21,196
414,Female,22,163
415,Female,22,167
416,Female,21,162
417,Female,55,171
418,Male,24,182
419,Male,26,180
420,Male,22,188
421,Female,19,164
422,Male,20,181
423,Female,22,161
424,Female,52,165
425,Male,19,188
426,Female,20,157
427,Female,20,179
428,Male,23,172
429,Female,18,162
430,Female,18,155
431,Male,21,188
432,Male,22,179
433,Male,55,172
434,Male,21,190
435,Female,21,158
436,Female,22,165
437,Male,19,185
438,Female,19,165
439,Male,21,186
440,Female,22,156
441,Female,22,163
442,Male,21,182
443,Female,25,172
444,Male,20,174
445,Male,19,170
446,Male,19,174
447,Female,20,170
448,Male,50,188
449,Male,21,165
450,Female,18,160
451,Male,20,169
452,Male,22,181
453,Male,25,180
454,Male,19,174
455,Male,18,175
456,Male,19,190
457,Female,21,168
458,Female,23,157
459,Male,19,184
460,Male,22,183
461,Female,21,155
462,Female,34,167
463,Female,22,162
464,Female,22,165
465,Male,23,180
466,Male,20,171
467,Female,20,165
468,Male,19,181
469,Female,24,164
470,Male,22,167
471,Female,21,169
472,Male,22,178
473,Female,25,160
474,Male,21,200
475,Female,21,167
476,Female,20,160
477,Female,20,170
478,Male,20,174
479,Male,21,182
480,Male,18,171
481,Female,20,165
482,Female,21,150
483,Male,20,193
484,Female,21,173
485,Male,20,169
486,Male,24,167
487,Female,19,165
488,Female,21,161
489,Female,20,174
490,Female,20,170
491,Male,20,166
492,Male,22,174
493,Male,18,179
494,Male,20,197
495,Female,19,166
496,Male,21,178
497,Female,21,173
498,Male,21,173
499,Male,18,184
500,Female,24,155
501,Female,23,168
502,Female,18,174
503,Female,21,149
504,Female,19,161
505,Male,19,170
506,Female,22,172
